"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD user","Create user successfully.","SUCCESS","2023-08-26T01:13:10.1674283-05:00[America/Bogota]","0.0","5.79"
"CRUD user","obtain user successfully.","SUCCESS","2023-08-26T01:13:15.9854167-05:00[America/Bogota]","0.0","59.51"
"CRUD user","update user successfully.","SUCCESS","2023-08-26T01:14:15.5086812-05:00[America/Bogota]","0.0","60.09"
"CRUD user","Delete user successfully.","SUCCESS","2023-08-26T01:15:15.6132501-05:00[America/Bogota]","0.0","59.87"
"CRUD user","obtain All user successfully.","SUCCESS","2023-08-26T01:16:15.5065431-05:00[America/Bogota]","0.0","59.75"
